Vehicle,Powertrain,Phase,RCP,Impact category,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100,Normalization and weighting
Bus,BEV,End-of-life savings,NPi,Acidification,-960.0975862123211,-936.4013837082357,-915.9805522374647,-903.9966594739915,-893.8436478541164,-885.9934630268245,-880.9108800481779,-885.4842652417389,-885.0911026093441,-885.5998743856663,-885.161548577411,-884.8653207059217,No
Bus,BEV,End-of-life savings,Base,Acidification,-966.4709198722753,-949.567314316921,-936.4295249320868,-922.9146375325769,-914.5993574082477,-907.6635592943231,-902.2858081050454,-899.9678322880195,-895.322244547941,-893.3658232530089,-890.9089553889116,-890.1238732487656,No
Bus,BEV,End-of-life savings,NDC,Acidification,-960.1068314105934,-933.1390961954738,-905.7642782603169,-889.7587136706198,-881.914789383729,-877.4289552391176,-875.5854973654449,-880.1195427933568,-880.160175341126,-880.3922484778695,-880.1062404902839,-879.4257536778956,No
Bus,BEV,End-of-life impacts,NPi,Acidification,96.32107326352772,90.51843606780672,85.48749450915517,82.79487995006671,81.05482226057676,79.64394442609242,78.77064110578982,79.7422598651474,79.73701367117391,79.89320544667639,79.94088057517574,79.94803888638693,No
Bus,BEV,End-of-life impacts,Base,Acidification,96.94002049912854,92.67402489065651,89.02703945660289,86.38743515150627,84.74267823123637,83.08318979274802,81.61974285013088,80.829830968999,79.77243452064188,79.47348752088973,79.36423223237887,79.29725374806797,No
Bus,BEV,End-of-life impacts,NDC,Acidification,96.32284164853668,89.78153786192408,83.88426072878026,80.73074952838103,79.51914822035674,79.06859153556404,78.84623983006927,79.95462220129298,79.95737768401516,79.96510222345337,79.95648711204714,79.93005356973092,No
Bus,FCEV,End-of-life savings,NPi,Acidification,-281.322266790489,-268.7143045799766,-258.3664613393956,-253.5510350642674,-248.9071722990504,-245.5345876014289,-243.0701737557941,-245.218035324192,-244.6110521132396,-244.5786148470041,-243.8607216206674,-243.3729300502228,No
Bus,FCEV,End-of-life savings,Base,Acidification,-287.4334700360374,-280.6571267586966,-276.2132650526018,-268.7220349261816,-263.7505637057243,-259.7579289901797,-256.8065781540067,-255.8460920841385,-254.126140044865,-252.9937459016082,-250.7801201541723,-250.2288242823686,No
Bus,FCEV,End-of-life savings,NDC,Acidification,-281.3258251708132,-266.6036974441178,-253.2469751757372,-245.9538837377095,-242.1120074941141,-239.5031246279638,-238.361929897324,-239.7139125229877,-239.3331102657392,-239.2834700998426,-238.7682020012724,-237.9969787310307,No
Bus,FCEV,End-of-life impacts,NPi,Acidification,60.78809348930979,56.60417362393451,53.2900346201373,51.88050990114999,51.20270896614732,50.65951176103271,50.30073745313757,51.0290894723812,51.01636969621771,51.12514960464193,51.14338868891322,51.12818814389586,No
Bus,FCEV,End-of-life impacts,Base,Acidification,61.33782619732794,58.47837112846714,56.24759153730783,54.6755632979073,53.64638126999122,52.56957454416528,51.62692705134769,51.39352089546004,50.91466444669626,50.76330924330843,50.67316783910426,50.61501535323922,No
Bus,FCEV,End-of-life impacts,NDC,Acidification,60.78916869602455,56.08355852015796,52.62952083851447,51.1602106966934,50.73551628271461,50.56706016065163,50.47081238377093,51.23262763210783,51.20725142144336,51.18642425886961,51.15733811141488,51.12012088358375,No
Bus,HEV,End-of-life savings,NPi,Acidification,-301.5768839644399,-287.8212128527937,-276.5463170788765,-271.2557556709563,-266.1626469472156,-262.4607923735134,-259.7588614588909,-261.9849531585803,-261.3224679886403,-261.2886296963283,-260.5062980569511,-259.9748410743924,No
Bus,HEV,End-of-life savings,Base,Acidification,-308.244138442592,-300.8508161741267,-296.0197731407248,-287.815459047322,-282.374977409176,-278.0050687854592,-274.7757898907859,-273.5996783408083,-271.7108713778894,-270.4715247920586,-268.0543347685002,-267.451309307756,No
Bus,HEV,End-of-life savings,NDC,Acidification,-301.5807724881386,-285.5155383709183,-270.936874282285,-262.9396483538648,-258.7296487406701,-255.8684439970507,-254.6166425493668,-255.9795883576214,-255.5645243442342,-255.5105065329445,-254.9491419417258,-254.1078489446085,No
Bus,HEV,End-of-life impacts,NPi,Acidification,56.79237185184003,52.58762517363202,49.33212950116322,48.01947588213253,47.45077583936222,46.99623023714198,46.68756811799977,47.38659162403241,47.37049962876602,47.47715789964357,47.49156066236644,47.47130938913789,No
Bus,HEV,End-of-life impacts,Base,Acidification,57.36686989671843,54.54152058270516,52.39625984241609,50.87981669739664,49.87133978996977,48.80629932166686,47.87743275471558,47.67122665039327,47.2440872841729,47.10367325386212,47.01003274112745,46.9484556740404,No
Bus,HEV,End-of-life impacts,NDC,Acidification,56.79341551575888,52.06511741260456,48.76890408855923,47.45173561340248,47.11146204130329,46.96736994565889,46.88050308806528,47.60422701045673,47.5724734586904,47.54540664278647,47.51065112202207,47.46894558275325,No
Bus,ICEV-CNG,End-of-life savings,NPi,Acidification,-287.5574558432472,-273.2955976541848,-261.7766138296946,-256.2982923987077,-251.2002818760835,-247.4507606839622,-244.7727316894591,-246.8792840341432,-246.2143662686558,-246.1768449212231,-245.4053586946762,-244.8839759719758,No
Bus,ICEV-CNG,End-of-life savings,Base,Acidification,-294.1682272871804,-286.2812166638238,-281.1249906946638,-272.7407391246111,-267.248864950793,-262.8206539613184,-259.5933878709568,-258.3566105546215,-256.5099120808139,-255.2865965055582,-252.8886431978369,-252.294038708665,No
Bus,ICEV-CNG,End-of-life savings,NDC,Acidification,-287.5612125795296,-270.9965595134072,-256.0137309550028,-247.9070273212494,-243.7890584696234,-240.9194561618851,-239.6755147708391,-240.9246536519478,-240.503645048997,-240.4465640194056,-239.8907369933971,-239.0586330840679,No
Bus,ICEV-CNG,End-of-life impacts,NPi,Acidification,55.96909419386644,51.7797446782766,48.53984726634604,47.23440803373408,46.67606859221453,46.23679162904548,45.93702593728239,46.63654245557601,46.62191644204128,46.72966718002991,46.7444536941027,46.72452887344954,No
Bus,ICEV-CNG,End-of-life impacts,Base,Acidification,56.54213670586444,53.72835140270016,51.60271168281356,50.09892809806146,49.09634543267475,48.0382327258811,47.11593513812314,46.91616684713984,46.49381056327756,46.35584842722848,46.26233964887795,46.20061846567954,No
Bus,ICEV-CNG,End-of-life impacts,NDC,Acidification,55.97015702455001,51.2611730664215,47.99007187109572,46.69002583693798,46.35752757185648,46.21524142950003,46.1304743347464,46.85322061083402,46.82317484509268,46.79707847738678,46.76300239033516,46.72161935914044,No
Bus,ICEV-D,End-of-life savings,NPi,Acidification,-273.105485330294,-259.813725447315,-248.9418874705131,-243.9382226142633,-239.0352800947153,-235.4988345985748,-232.8798462642856,-234.9758793918267,-234.300110128432,-234.2447171665042,-233.443367008146,-232.8984315727377,No
Bus,ICEV-D,End-of-life savings,Base,Acidification,-279.8222335043825,-272.8997038595808,-268.4787200497497,-260.490358918001,-255.1544891453117,-250.882318628244,-247.7282674950807,-246.5435123135033,-244.7528061214472,-243.5350863785877,-241.1063279435755,-240.5067164902957,No
Bus,ICEV-D,End-of-life savings,NDC,Acidification,-273.1092078318953,-257.5373018772043,-243.529922488627,-235.8528919724255,-231.7598755189969,-228.9524005052776,-227.7170407350647,-228.9124322424308,-228.4776305482344,-228.4119077951668,-227.8360612063898,-226.9831800253672,No
Bus,ICEV-D,End-of-life impacts,NPi,Acidification,53.94809747313138,49.80091759947089,46.61409903923273,45.34669450759463,44.81376435221893,44.38719811728895,44.09563194218637,44.76830307685738,44.75146821233609,44.85615692008625,44.86917453445022,44.84767451085023,No
Bus,ICEV-D,End-of-life impacts,Base,Acidification,54.52185648066008,51.75057667013494,49.66520074401006,48.18425920564385,47.19390540818392,46.1454040340444,45.2323120575827,45.02639754129389,44.61910156137619,44.48336134832444,44.39004114790323,44.32852265387455,No
Bus,ICEV-D,End-of-life impacts,NDC,Acidification,53.94910968676302,49.28482049773217,46.08424613710991,44.82593166699188,44.51173401770864,44.37644554024897,44.29352571809068,44.9870171568725,44.95345508102901,44.92472023439225,44.8886519720173,44.84612720670947,No
Car,BEV,End-of-life savings,NPi,Acidification,-125.5077878055392,-122.7748387120085,-120.3692300795694,-118.8734203107169,-117.6174172557342,-116.6405480785156,-116.0149461280709,-116.5333502121197,-116.5107045865936,-116.5907352429774,-116.5659926778306,-116.548949094211,No
Car,BEV,End-of-life savings,Base,Acidification,-126.1171861347496,-124.0652106456776,-122.4252215100406,-120.8550368186347,-119.9002518129089,-119.0969540045343,-118.4579835233611,-118.1106027361518,-117.5027932094992,-117.271835508298,-117.029614153428,-116.9423890774093,No
Car,BEV,End-of-life savings,NDC,Acidification,-125.5090158700603,-122.405729635634,-119.1589364541021,-117.1946104800295,-116.2229346146568,-115.6984322931294,-115.4848730776461,-116.0452038138472,-116.0747651397132,-116.1131512791401,-116.0999880966138,-116.0418303772166,No
Car,BEV,End-of-life impacts,NPi,Acidification,9.8207061900216,9.180644461119885,8.60597084085709,8.262708170457765,8.01876695834804,7.819459439776396,7.698631228259186,7.788875569367727,7.788841071299771,7.806454783157987,7.812857868982697,7.815038970557154,No
Car,BEV,End-of-life impacts,Base,Acidification,9.881849461908667,9.396547284430476,8.969033781441244,8.646846379070436,8.44799187935731,8.250573840597708,8.076658682952573,7.943782196856329,7.802146125628419,7.763168391329433,7.751799967703374,7.745137541659868,No
Car,BEV,End-of-life impacts,NDC,Acidification,9.820910903985911,9.097222326691906,8.386165043500945,7.967864773033273,7.793424651641385,7.72945698793843,7.69904910982726,7.809123675787228,7.811127021317031,7.813706263378179,7.814241376029093,7.812504556259166,No
Car,FCEV,End-of-life savings,NPi,Acidification,-20.68178071064395,-19.61286667924665,-18.71945508000857,-18.33139753798728,-17.91019736610879,-17.61841779259271,-17.38535195645903,-17.55356176845815,-17.49106803550038,-17.48485192201457,-17.40770441206825,-17.35460211859919,No
Car,FCEV,End-of-life savings,Base,Acidification,-21.31567863690948,-20.8353073190738,-20.55380266105761,-19.87984383225089,-19.41135006000724,-19.04059649564588,-18.75873523500839,-18.62997428241732,-18.46949341671417,-18.35783422966615,-18.13111085941437,-18.07527174304979,No
