Vehicle,Powertrain,Phase,Unit,non_norm_Acidification,non_norm_Climate change,non_norm_Climate change: biogenic,non_norm_Climate change: fossil,non_norm_Climate change: land use and land use change,non_norm_Ecotoxicity: freshwater,"non_norm_Ecotoxicity: freshwater, inorganics","non_norm_Ecotoxicity: freshwater, organics",non_norm_Energy resources: non-renewable,non_norm_Eutrophication: freshwater,non_norm_Eutrophication: marine,non_norm_Eutrophication: terrestrial,non_norm_Human toxicity: carcinogenic,"non_norm_Human toxicity: carcinogenic, inorganics","non_norm_Human toxicity: carcinogenic, organics",non_norm_Human toxicity: non-carcinogenic,"non_norm_Human toxicity: non-carcinogenic, inorganics","non_norm_Human toxicity: non-carcinogenic, organics",non_norm_Ionising radiation: human health,non_norm_Land use,non_norm_Material resources: metals/minerals,non_norm_Ozone depletion,non_norm_Particulate matter formation,non_norm_Photochemical oxidant formation: human health,non_norm_Water use,norm_Acidification,norm_Climate change,norm_Climate change: biogenic,norm_Climate change: fossil,norm_Climate change: land use and land use change,norm_Ecotoxicity: freshwater,"norm_Ecotoxicity: freshwater, inorganics","norm_Ecotoxicity: freshwater, organics",norm_Energy resources: non-renewable,norm_Eutrophication: freshwater,norm_Eutrophication: marine,norm_Eutrophication: terrestrial,norm_Human toxicity: carcinogenic,"norm_Human toxicity: carcinogenic, inorganics","norm_Human toxicity: carcinogenic, organics",norm_Human toxicity: non-carcinogenic,"norm_Human toxicity: non-carcinogenic, inorganics","norm_Human toxicity: non-carcinogenic, organics",norm_Ionising radiation: human health,norm_Land use,norm_Material resources: metals/minerals,norm_Ozone depletion,norm_Particulate matter formation,norm_Photochemical oxidant formation: human health,norm_Water use,EF_3.1_total
Car,ICEV-P,Abrasion,per km,0.0,0.0,0,0.0,0,0.00058,0.00058,0.0,0,0,0.0,0.0,2.2181e-12,2.2181e-12,0,2.44675e-10,2.44675e-10,0.0,0,0,0,0,4.94837e-09,0.0,0,0.0,0.0,0,0,0,1.95758e-10,0,0,0,0,0.0,0.0,2.7384e-09,0,0,3.49709e-08,0,0,0,0,0,0,7.44707e-07,0.0,0,7.82612058e-07
Car,ICEV-P,Exhaust,per kg,0.00083,3.1425,0,3.1425,0,0.02983,0.02542,0.00441,0,0,0.0002,0.00404,3.90596e-11,3.90596e-11,0,5.3794e-09,5.33447e-09,4.49277e-11,0,0,0,0,5.83264e-09,0.00123,0,9.25256e-07,8.76211e-05,0,0,0,1.0099e-08,0,0,0,0,3.02827e-07,8.47834e-07,4.8222e-08,0,0,7.68868e-07,0,0,0,0,0,0,8.77786e-07,1.43564e-06,0,9.283763200000003e-05
Car,ICEV-D,Abrasion,per km,0.0,0.0,0,0.0,0,0.00056,0.00056,0.0,0,0,0.0,0.0,2.14854e-12,2.14854e-12,0,2.37302e-10,2.37302e-10,0.0,0,0,0,0,4.87738e-09,0.0,0,0.0,0.0,0,0,0,1.90502e-10,0,0,0,0,0.0,0.0,2.65253e-09,0,0,3.39171e-08,0,0,0,0,0,0,7.34023e-07,0.0,0,7.70783132e-07
Car,ICEV-D,Exhaust,per kg,0.00145,3.19442,0,3.19442,0,0.02454,0.02432,0.00023,0,0,0.00055,0.00767,2.33673e-11,2.33673e-11,0,2.57033e-09,2.56692e-09,3.40805e-12,0,0,0,0,6.22118e-09,0.00145,0,1.61695e-06,8.90689e-05,0,0,0,8.30841e-09,0,0,0,0,8.34068e-07,1.61084e-06,2.88487e-08,0,0,3.67372e-07,0,0,0,0,0,0,9.3626e-07,1.69221e-06,0,9.616375711e-05
Car,BEV,Abrasion,per km,0.0,0.0,0,0.0,0,0.00207,0.00207,0.0,0,0,3.35417e-09,1.02563e-07,1.01937e-12,1.01937e-12,0,1.28112e-10,1.28112e-10,0.0,0,0,0,0,3.90396e-09,0.0,0,0.0,0.0,0,0,0,7.01513e-10,0,0,0,0,5.07968e-12,2.15275e-11,1.25848e-09,0,0,1.83109e-08,0,0,0,0,0,0,5.87528e-07,0.0,0,6.0782550018e-07
Car,BEV,Exhaust,per kg,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0
Car,PHEV,Abrasion,per km,0.0,0.0,0,0.0,0,0.00043,0.00043,0.0,0,0,0.0,0.0,1.48205e-12,1.48205e-12,0,1.68318e-10,1.68318e-10,0.0,0,0,0,0,4.51594e-09,0.0,0,0.0,0.0,0,0,0,1.45262e-10,0,0,0,0,0.0,0.0,1.8297e-09,0,0,2.40574e-08,0,0,0,0,0,0,6.79629e-07,0.0,0,7.05661362e-07
Car,PHEV,Exhaust,per kg,0.0013,2.84596,0,2.84596,0,0.0207,0.0205,0.0002,0,0,0.00052,0.00693,2.14284e-11,2.14284e-11,0,2.33505e-09,2.33227e-09,2.78233e-12,0,0,0,0,5.17121e-09,0.00137,0,1.44638e-06,7.93528e-05,0,0,0,7.00792e-09,0,0,0,0,7.85527e-07,1.4553e-06,2.6455e-08,0,0,3.33744e-07,0,0,0,0,0,0,7.78244e-07,1.60385e-06,0,8.578930791999998e-05
Car,FCEV,Abrasion,per km,0.0,0.0,0,0.0,0,0.00207,0.00207,0.0,0,0,3.35417e-09,1.02563e-07,1.01937e-12,1.01937e-12,0,1.28112e-10,1.28112e-10,0.0,0,0,0,0,3.90396e-09,0.0,0,0.0,0.0,0,0,0,7.01513e-10,0,0,0,0,5.07968e-12,2.15275e-11,1.25848e-09,0,0,1.83109e-08,0,0,0,0,0,0,5.87528e-07,0.0,0,6.0782550018e-07
Car,FCEV,Exhaust,per kg,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0
