Vehicle,Powertrain,Phase,Unit,non_norm_Acidification,non_norm_Climate change,non_norm_Climate change: biogenic,non_norm_Climate change: fossil,non_norm_Climate change: land use and land use change,non_norm_Ecotoxicity: freshwater,"non_norm_Ecotoxicity: freshwater, inorganics","non_norm_Ecotoxicity: freshwater, organics",non_norm_Energy resources: non-renewable,non_norm_Eutrophication: freshwater,non_norm_Eutrophication: marine,non_norm_Eutrophication: terrestrial,non_norm_Human toxicity: carcinogenic,"non_norm_Human toxicity: carcinogenic, inorganics","non_norm_Human toxicity: carcinogenic, organics",non_norm_Human toxicity: non-carcinogenic,"non_norm_Human toxicity: non-carcinogenic, inorganics","non_norm_Human toxicity: non-carcinogenic, organics",non_norm_Ionising radiation: human health,non_norm_Land use,non_norm_Material resources: metals/minerals,non_norm_Ozone depletion,non_norm_Particulate matter formation,non_norm_Photochemical oxidant formation: human health,non_norm_Water use,norm_Acidification,norm_Climate change,norm_Climate change: biogenic,norm_Climate change: fossil,norm_Climate change: land use and land use change,norm_Ecotoxicity: freshwater,"norm_Ecotoxicity: freshwater, inorganics","norm_Ecotoxicity: freshwater, organics",norm_Energy resources: non-renewable,norm_Eutrophication: freshwater,norm_Eutrophication: marine,norm_Eutrophication: terrestrial,norm_Human toxicity: carcinogenic,"norm_Human toxicity: carcinogenic, inorganics","norm_Human toxicity: carcinogenic, organics",norm_Human toxicity: non-carcinogenic,"norm_Human toxicity: non-carcinogenic, inorganics","norm_Human toxicity: non-carcinogenic, organics",norm_Ionising radiation: human health,norm_Land use,norm_Material resources: metals/minerals,norm_Ozone depletion,norm_Particulate matter formation,norm_Photochemical oxidant formation: human health,norm_Water use,EF_3.1_total
Bus,BEV,Battery production,per vehicle,512.00937,24473.7,41.46432,24371.0,61.23571,398224.0,323236.0,74987.8,314099.0,16.44609,35.31951,346.21061,0.00016,1.8823e-05,0.00014,0.00124,0.00116,7.86515e-05,2434.29809,106616.0,2.16124,0.00037,0.00222,133.16827,36247.6,0.57126,0.68239,0,0,0,0.13481,0,0,0.40202,0.28658,0.05349,0.07267,0.19361,0,0,0.17731,0,0,0.0289,0.01033,2.56471,0.00044,0.33459,0.15579,0.26896,5.93786
Bus,BEV,Vehicle production,per vehicle,435.64882,46418.4,44.13471,46306.9,67.33595,909404.0,471834.0,437570.0,585353.0,31.12083,53.56118,599.19181,0.00193,3.63312e-05,0.00189,0.00303,0.00287,0.00016,2657.97829,201459.0,3.01744,0.00051,0.00377,210.92634,15303.7,0.48606,1.29427,0,0,0,0.30786,0,0,0.7492,0.54229,0.08112,0.12577,2.38157,0,0,0.43299,0,0,0.03155,0.01952,3.58076,0.00061,0.56743,0.24676,0.11356,10.96132
Bus,ICEV-CNG,Vehicle production,per vehicle,527.23207,55837.3,51.8263,55703.6,81.87118,1020290.0,531141.0,489149.0,703382.0,34.82275,72.57315,831.06204,0.00215,3.79398e-05,0.00211,0.00309,0.00294,0.00016,2954.80508,229896.0,3.02129,0.00057,0.00469,271.42931,18979.7,0.58824,1.55689,0,0,0,0.34539,0,0,0.90027,0.6068,0.10991,0.17444,2.65612,0,0,0.44195,0,0,0.03508,0.02227,3.58532,0.00069,0.70541,0.31754,0.14083,12.187149999999999
Bus,ICEV-D,Vehicle production,per vehicle,499.60196,51226.0,46.9803,51106.4,72.59566,1018840.0,525029.0,493809.0,649633.0,33.82033,67.06127,786.02099,0.00217,3.75646e-05,0.00214,0.00307,0.00291,0.00015,2841.71655,223694.0,3.00841,0.00055,0.00435,256.93845,16540.6,0.55742,1.42832,0,0,0,0.3449,0,0,0.83148,0.58933,0.10156,0.16498,2.68448,0,0,0.43818,0,0,0.03374,0.02167,3.57003,0.00066,0.65472,0.30058,0.12273,11.84478
Bus,FCEV,Battery production,per vehicle,72.20645,3451.41544,5.84753,3436.9321,8.6358,56159.8,45584.6,10575.2,44296.0,2.31932,4.98096,48.82457,2.21163e-05,2.65453e-06,1.94618e-05,0.00017,0.00016,1.10919e-05,343.29845,15035.6,0.30479,5.15517e-05,0.00031,18.78014,5111.84689,0.08056,0.09623,0,0,0,0.01901,0,0,0.0567,0.04042,0.00754,0.01025,0.0273,0,0,0.02501,0,0,0.00408,0.00146,0.36169,6.21396e-05,0.04719,0.02197,0.03793,0.8374021396000001
Bus,FCEV,Vehicle production,per vehicle,504.72624,49900.1,48.51574,49779.7,71.89523,983921.0,532796.0,451125.0,634767.0,34.65251,65.74711,768.44532,0.00195,3.7778e-05,0.00191,0.00314,0.00298,0.00017,2838.74032,225728.0,3.21824,0.00456,0.00414,249.96123,16564.5,0.56313,1.39135,0,0,0,0.33308,0,0,0.81245,0.60383,0.09957,0.16129,2.40887,0,0,0.44925,0,0,0.0337,0.02187,3.81904,0.0055,0.62311,0.29242,0.12291,11.74137
Bus,HEV,Battery production,per vehicle,17.66183,1373.15132,1.45691,1369.56331,2.1311,32453.7,16022.8,16430.9,15894.6,0.7232,1.63394,16.45718,6.69632e-05,7.58057e-07,6.62051e-05,4.51552e-05,4.25268e-05,2.62844e-06,89.84403,5036.27766,0.06613,1.40192e-05,0.00012,6.13171,1335.3244,0.01971,0.03829,0,0,0,0.01099,0,0,0.02034,0.0126,0.00247,0.00345,0.08267,0,0,0.00645,0,0,0.00107,0.00049,0.07847,1.68986e-05,0.01838,0.00717,0.00991,0.31247689859999994
Bus,HEV,Vehicle production,per vehicle,508.1112,50888.4,47.26736,50767.7,73.41464,999882.0,527425.0,472457.0,645465.0,34.35388,67.1676,788.63606,0.00208,3.79189e-05,0.00204,0.00313,0.00297,0.00016,2825.49997,224741.0,3.12144,0.00055,0.00433,257.21967,16424.6,0.56691,1.4189,0,0,0,0.33849,0,0,0.82614,0.59863,0.10172,0.16553,2.56887,0,0,0.4473,0,0,0.03354,0.02177,3.70416,0.00066,0.6519,0.30091,0.12187,11.8673
Car,BEV,Battery production,per vehicle,87.41542,6629.52243,19.31282,6595.85544,14.35417,100739.0,89475.6,11263.6,91117.9,5.15327,9.2011,99.6584,4.22751e-05,5.17836e-06,3.70968e-05,0.00046,0.00044,2.61013e-05,875.69665,40547.2,0.93394,0.00014,0.00058,31.10868,11641.6,0.09753,0.18485,0,0,0,0.0341,0,0,0.11662,0.0898,0.01393,0.02092,0.05219,0,0,0.06598,0,0,0.0104,0.00393,1.10829,0.00016,0.08721,0.03639,0.08638,2.00868
Car,BEV,Vehicle production,per vehicle,48.03103,6702.55683,7.52696,6685.36745,9.66242,161294.0,102759.0,58535.8,91218.5,4.89336,9.16184,78.96176,0.00024,3.41884e-06,0.00024,0.00026,0.00024,1.35676e-05,776.24108,34313.6,0.70086,0.00016,0.00048,31.4786,2672.45035,0.05359,0.18689,0,0,0,0.0546,0,0,0.11675,0.08527,0.01388,0.01657,0.29756,0,0,0.03685,0,0,0.00922,0.00332,0.8317,0.00019,0.07261,0.03683,0.01983,1.8356599999999998
Car,ICEV-D,Vehicle production,per vehicle,39.18184,6016.41687,6.70632,6001.35049,8.36006,147819.0,71057.5,76761.6,85267.0,3.39388,6.31782,68.52874,0.00025,2.27362e-06,0.00024,0.00015,0.00014,8.55096e-06,709.20439,28130.4,0.34077,0.00013,0.00043,28.84725,2466.69436,0.04372,0.16775,0,0,0,0.05004,0,0,0.10913,0.05914,0.00957,0.01438,0.30512,0,0,0.02127,0,0,0.00842,0.00273,0.40438,0.00016,0.06521,0.03375,0.0183,1.31307
Car,FCEV,Battery production,per vehicle,2.03948,154.6724,0.45058,153.88692,0.33489,2350.33352,2087.54299,262.79053,2125.85837,0.12023,0.21467,2.32512,9.86315e-07,1.20816e-07,8.65499e-07,1.07707e-05,1.01618e-05,6.08966e-07,20.43075,945.99993,0.02179,3.17352e-06,1.35198e-05,0.72579,271.60928,0.00228,0.00431,0,0,0,0.0008,0,0,0.00272,0.0021,0.00033,0.00049,0.00122,0,0,0.00154,0,0,0.00024,9.16566e-05,0.02586,3.82531e-06,0.00203,0.00085,0.00202,0.04688548190999999
Car,FCEV,Vehicle production,per vehicle,152.33223,11663.4,13.75191,11633.3,16.29351,266051.0,190750.0,75300.3,161044.0,10.07816,27.98274,342.19077,0.00027,5.19943e-06,0.00026,0.0004,0.00037,2.18932e-05,1018.81415,69923.8,0.9658,0.00652,0.00103,91.23641,4480.57934,0.16996,0.32521,0,0,0,0.09006,0,0,0.20612,0.17562,0.04238,0.07182,0.33196,0,0,0.05662,0,0,0.01209,0.00677,1.1461,0.00786,0.1552,0.10673,0.03325,2.9377500000000003
Car,ICEV-P,Vehicle production,per vehicle,37.65928,5869.0975,6.52401,5854.49048,8.08302,143482.0,69787.9,73693.7,83332.1,3.32406,6.12828,66.34252,0.00024,2.22524e-06,0.00024,0.00015,0.00014,8.23954e-06,696.04642,27565.5,0.3366,0.00013,0.00042,28.04671,2416.71748,0.04202,0.16365,0,0,0,0.04857,0,0,0.10666,0.05792,0.00928,0.01392,0.30115,0,0,0.02078,0,0,0.00826,0.00267,0.39944,0.00016,0.06348,0.03281,0.01793,1.2886999999999997
Car,PHEV,Battery production,per vehicle,18.94109,1436.4788,4.18468,1429.18387,3.11025,21828.1,19387.5,2440.59715,19743.3,1.11661,1.99369,21.59389,9.16014e-06,1.12204e-06,8.03809e-06,0.0001,9.43746e-05,5.65561e-06,189.74514,8785.72279,0.20237,2.94732e-05,0.00013,6.7406,2522.49893,0.02113,0.04005,0,0,0,0.00739,0,0,0.02527,0.01946,0.00302,0.00453,0.01131,0,0,0.0143,0,0,0.00225,0.00085,0.24014,3.55266e-05,0.0189,0.00789,0.01872,0.43524552660000004
Car,PHEV,Vehicle production,per vehicle,49.98576,6945.55921,7.8367,6927.60691,10.11559,170579.0,96685.3,73894.1,95379.4,4.63663,8.85331,82.48851,0.00025,3.20729e-06,0.00025,0.00023,0.00022,1.29518e-05,796.12285,34120.3,0.59982,0.00016,0.0005,33.14658,2763.44189,0.05577,0.19366,0,0,0,0.05775,0,0,0.12208,0.0808,0.01341,0.01731,0.31238,0,0,0.03347,0,0,0.00945,0.00331,0.7118,0.00019,0.07566,0.03878,0.02051,1.7463300000000002
LCV,BEV,Battery production,per vehicle,107.81018,8176.24645,23.81867,8134.72467,17.70312,124243.0,110351.0,13891.6,112376.0,6.35558,11.34779,122.90955,5.21383e-05,6.38652e-06,4.57518e-05,0.00057,0.00054,3.2191e-05,1080.00413,50007.2,1.15184,0.00017,0.00071,38.3666,14357.7,0.12029,0.22798,0,0,0,0.04206,0,0,0.14383,0.11075,0.01719,0.0258,0.06437,0,0,0.08138,0,0,0.01282,0.00485,1.36687,0.0002,0.10756,0.04488,0.10654,2.47737
LCV,BEV,Vehicle production,per vehicle,78.6196,6849.44594,17.79356,6810.15431,21.49807,175058.0,119907.0,55150.5,89462.5,7.20717,9.12924,71.44227,0.00025,6.71071e-06,0.00025,0.00062,0.00059,3.80261e-05,827.8774,40084.9,0.98651,0.00012,0.00053,33.29093,3606.43292,0.08772,0.19098,0,0,0,0.05926,0,0,0.1145,0.12559,0.01383,0.015,0.31342,0,0,0.08924,0,0,0.00983,0.00388,1.17068,0.00014,0.07904,0.03895,0.02676,2.3388199999999997
LCV,ICEV-CNG,Vehicle production,per vehicle,74.12494,6630.69152,16.71937,6594.66541,19.30674,160890.0,91146.4,69743.8,91858.9,5.93012,7.78669,86.49359,0.0003,6.33637e-06,0.00029,0.00054,0.00051,3.09966e-05,844.4964,37134.8,0.60301,8.5705e-05,0.00054,35.22428,3407.55523,0.0827,0.18488,0,0,0,0.05447,0,0,0.11757,0.10333,0.01179,0.01815,0.36432,0,0,0.07704,0,0,0.01003,0.0036,0.71558,0.0001,0.08082,0.04121,0.02528,1.89087
LCV,ICEV-D,Vehicle production,per vehicle,74.12494,6630.69152,16.71937,6594.66541,19.30674,160890.0,91146.4,69743.8,91858.9,5.93012,7.78669,86.49359,0.0003,6.33637e-06,0.00029,0.00054,0.00051,3.09966e-05,844.4964,37134.8,0.60301,8.5705e-05,0.00054,35.22428,3407.55523,0.0827,0.18488,0,0,0,0.05447,0,0,0.11757,0.10333,0.01179,0.01815,0.36432,0,0,0.07704,0,0,0.01003,0.0036,0.71558,0.0001,0.08082,0.04121,0.02528,1.89087
LCV,FCEV,Battery production,per vehicle,15.29824,1160.20756,3.37986,1154.31563,2.51207,17630.0,15658.8,1971.20853,15946.2,0.90185,1.61025,17.44084,7.39841e-06,9.06246e-07,6.49217e-06,8.07919e-05,7.6224e-05,4.56789e-06,153.25235,7096.00589,0.16345,2.38048e-05,0.0001,5.44421,2037.35853,0.01707,0.03235,0,0,0,0.00597,0,0,0.02041,0.01572,0.00244,0.00366,0.00913,0,0,0.01155,0,0,0.00182,0.00069,0.19396,2.86939e-05,0.01526,0.00637,0.01512,0.3515486939
LCV,FCEV,Vehicle production,per vehicle,126.61446,9339.09322,21.06132,9293.36557,24.66632,223546.0,163266.0,60280.1,126481.0,9.67575,17.2766,184.46245,0.00023,7.85472e-06,0.00023,0.00071,0.00067,4.38905e-05,968.91032,57585.8,1.15109,0.00273,0.00077,59.81769,4453.56651,0.14127,0.2604,0,0,0,0.07568,0,0,0.16189,0.1686,0.02616,0.03872,0.28997,0,0,0.10151,0,0,0.0115,0.00558,1.36598,0.00329,0.11573,0.06998,0.03305,2.86931
LCV,PHEV,Battery production,per vehicle,19.80895,1502.29684,4.37642,1494.66766,3.25276,22828.2,20275.8,2552.4229,20648.0,1.16777,2.08503,22.5833,9.57985e-06,1.17345e-06,8.40639e-06,0.0001,9.86987e-05,5.91474e-06,198.43908,9188.27596,0.21164,3.08236e-05,0.00013,7.04945,2638.07735,0.0221,0.04189,0,0,0,0.00773,0,0,0.02643,0.02035,0.00316,0.00474,0.01183,0,0,0.01495,0,0,0.00236,0.00089,0.25115,3.71544e-05,0.01976,0.00825,0.01958,0.4552071543999999
LCV,PHEV,Vehicle production,per vehicle,92.01505,8211.56372,18.65061,8170.62282,22.29029,201498.0,127532.0,73965.7,109921.0,7.7159,11.5517,110.17501,0.00031,7.66746e-06,0.0003,0.00066,0.00062,3.74862e-05,990.77184,46331.9,0.94841,0.00012,0.00066,42.84639,3920.0113,0.10266,0.22896,0,0,0,0.06821,0,0,0.14069,0.13445,0.01749,0.02313,0.38396,0,0,0.09408,0,0,0.01176,0.00449,1.12547,0.00015,0.09877,0.05012,0.02909,2.5134800000000004
Truck,BEV,Battery production,per vehicle,175.63566,14490.0,42.13947,14413.3,34.55146,218454.0,194238.0,24216.4,202544.0,10.51033,19.48724,206.93845,8.80828e-05,1.06971e-05,7.73857e-05,0.00095,0.0009,5.15033e-05,2262.44878,83494.8,2.0295,0.00031,0.00127,64.97144,34067.1,0.19596,0.40402,0,0,0,0.07395,0,0,0.25924,0.18315,0.02951,0.04344,0.10874,0,0,0.1353,0,0,0.02686,0.00809,2.40837,0.00038,0.19064,0.07601,0.25278,4.39644
Truck,BEV,Vehicle production,per vehicle,136.01036,24320.5,21.52701,24233.6,65.43263,689790.0,311814.0,377976.0,310362.0,14.43505,30.77416,257.69373,0.00167,1.44015e-05,0.00165,0.00124,0.00119,4.87092e-05,1711.61555,100337.0,1.87484,0.00041,0.00181,101.78064,8200.83647,0.15175,0.67812,0,0,0,0.23351,0,0,0.39724,0.25154,0.04661,0.05409,2.05633,0,0,0.17715,0,0,0.02032,0.00972,2.22484,0.0005,0.27198,0.11907,0.06085,6.753619999999999
Truck,ICEV-D,Vehicle production,per vehicle,126.87825,22648.9,17.86385,22572.5,58.60516,641030.0,228680.0,412350.0,301373.0,10.47457,23.73871,248.21478,0.00177,1.25457e-05,0.00176,0.00099,0.00096,2.96841e-05,1719.45922,85354.9,0.85345,0.00032,0.0017,96.67095,7465.39441,0.14156,0.63151,0,0,0,0.217,0,0,0.38573,0.18252,0.03595,0.0521,2.18507,0,0,0.14212,0,0,0.02041,0.00827,1.01277,0.00038,0.25515,0.11309,0.05539,5.439019999999998
Truck,FCEV,Battery production,per vehicle,58.69689,4842.50366,14.08288,4816.87379,11.54699,73006.8,64913.8,8093.05323,67689.5,3.51252,6.51257,69.15819,2.9437e-05,3.57493e-06,2.58621e-05,0.00032,0.0003,1.72122e-05,756.10335,27903.7,0.67825,0.0001,0.00042,21.71325,11385.1,0.06549,0.13502,0,0,0,0.02471,0,0,0.08664,0.06121,0.00986,0.01452,0.03634,0,0,0.04522,0,0,0.00898,0.0027,0.80487,0.00013,0.06371,0.0254,0.08448,1.46928
Truck,FCEV,Vehicle production,per vehicle,222.44504,28484.7,26.7756,28386.9,70.99721,777773.0,385389.0,392384.0,369025.0,18.77396,46.23024,473.46093,0.00169,1.60076e-05,0.00167,0.00137,0.00131,5.62955e-05,1918.29839,129980.0,2.10722,0.00561,0.00226,150.94165,9719.55841,0.24819,0.79423,0,0,0,0.2633,0,0,0.47232,0.32714,0.07001,0.09938,2.08663,0,0,0.1951,0,0,0.02277,0.01259,2.50061,0.00676,0.34072,0.17658,0.07212,7.688450000000001
Truck,HEV,Battery production,per vehicle,14.37846,1186.2257,3.44976,1179.94738,2.82857,17883.8,15901.4,1982.48436,16581.3,0.86043,1.59533,16.94108,7.21092e-06,8.75718e-07,6.33521e-06,7.7496e-05,7.32796e-05,4.21633e-06,185.21601,6835.32299,0.16615,2.5646e-05,0.0001,5.31891,2788.90995,0.01604,0.03308,0,0,0,0.00605,0,0,0.02122,0.01499,0.00242,0.00356,0.0089,0,0,0.01108,0,0,0.0022,0.00066,0.19716,3.09133e-05,0.01561,0.00622,0.02069,0.35991091329999997
Truck,HEV,Vehicle production,per vehicle,136.9809,23541.7,18.95443,23462.4,60.28999,663961.0,249227.0,414734.0,311573.0,11.48301,25.86483,261.58782,0.00178,1.32973e-05,0.00177,0.00106,0.00103,3.33488e-05,1802.06183,90548.6,1.0485,0.00034,0.00176,100.9752,7754.78137,0.15283,0.6564,0,0,0,0.22477,0,0,0.39879,0.2001,0.03917,0.05491,2.19617,0,0,0.15174,0,0,0.02139,0.00877,1.24424,0.00041,0.26529,0.11813,0.05754,5.79065
